연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2019Y 1Q,종로구,308667,26905,58626,50544,51157,48985,72413,44604,44584,45597,46810,46837,42373,37816,154411,154247
2019Y 1Q,중구,316940,24832,53167,60732,56032,51257,70888,47213,46983,48186,49800,49248,40076,35389,157780,159153
2019Y 1Q,중랑구,404282,59840,52485,59295,58415,67077,107134,57223,57234,56955,56743,56635,59014,60435,188568,215705
2019Y 2Q,강남구,866417,95467,170498,201712,159652,102015,137022,127228,133681,132863,132021,133762,109433,97377,422701,443708
2019Y 2Q,강동구,559027,84480,69951,86449,86515,88783,142806,79209,78459,79024,78833,79255,81444,82754,260620,298396
2019Y 2Q,강북구,379122,49051,55230,50016,56105,60587,108101,53714,53218,53582,53625,53796,55152,55994,171703,207413
2019Y 2Q,강서구,508805,85269,68134,88536,78895,70647,117282,72463,71794,72321,72290,72001,73234,74654,235391,273409
2019Y 2Q,관악구,713441,75699,177052,133959,95238,84457,146986,100067,99355,100282,100410,100338,105643,107286,350248,363182
2019Y 2Q,광진구,467969,62666,95111,78974,66954,66303,97920,65955,65228,65901,66000,66239,69122,69480,218098,249861
2019Y 2Q,구로구,328346,41337,44363,55977,54577,51688,80368,47002,46674,47010,46938,46742,46327,47610,159103,169235
2019Y 2Q,금천구,181948,19142,26415,32218,29101,31198,43856,26139,25984,26062,26044,25980,25608,26107,89910,92034
2019Y 2Q,노원구,161789,23786,27474,19916,22871,25726,41992,22525,22376,22645,22674,23028,24435,24073,74438,87348
2019Y 2Q,도봉구,194442,26746,24690,25047,28069,31482,58377,27551,27243,27409,27392,27319,28372,29115,88318,106120
2019Y 2Q,동대문구,479108,64037,90101,67663,66929,68007,122335,68590,68554,69065,68925,68408,67730,67791,229555,249547
2019Y 2Q,동작구,423553,57579,88143,69199,56685,54518,97394,60138,60089,60362,60391,60169,61230,61126,198611,224932
2019Y 2Q,마포구,524456,67508,123771,100603,81486,60022,91027,73455,74437,75042,75230,76573,76680,72988,237964,286485
2019Y 2Q,서대문구,332364,45044,77904,51587,49141,41833,66821,47640,48779,48995,48914,48885,45422,43685,152189,180169
2019Y 2Q,서초구,506107,62174,87099,102629,89585,66678,97908,74373,76583,76294,75921,76816,65637,60439,246794,259306
2019Y 2Q,성동구,285683,37185,51270,50013,44523,41497,61168,41111,41562,41652,41550,41722,39512,38540,136632,149043
2019Y 2Q,성북구,419421,68173,84798,56044,58519,55974,95868,59614,59601,60172,59958,59535,59972,60515,190137,229276
2019Y 2Q,송파구,423335,61992,62315,78189,66786,61774,92239,60026,59928,60371,60416,60807,61269,60469,196942,226382
2019Y 2Q,양천구,347089,64701,39593,49354,55127,53592,84687,49404,48938,49121,49080,49027,50231,51240,162478,184608
2019Y 2Q,영등포구,439100,47174,67368,76873,71205,70585,105850,62589,62796,63086,62719,63531,61998,62332,214541,224550
2019Y 2Q,용산구,252199,28231,47467,50764,41393,32280,52026,35769,36167,36263,36249,36739,35766,35201,120066,132125
2019Y 2Q,은평구,451093,70301,58876,66329,68735,67178,119637,63963,63359,63707,63616,63561,65759,67080,203573,247513
2019Y 2Q,종로구,307489,29191,57925,50296,50805,48356,70878,44071,45779,46347,45958,46491,41921,36878,151850,155635
2019Y 2Q,중구,317018,25513,53483,61382,55925,51021,69658,46943,49215,49149,48743,49053,39390,34478,156585,160428
2019Y 2Q,중랑구,388433,56645,50245,57480,56781,64519,102725,55271,54510,54719,54813,54619,56449,58010,179686,208740
2019Y 3Q,강남구,885550,103631,178073,203837,163246,103321,133394,134692,139071,138424,132278,132011,109483,99538,431790,453752
2019Y 3Q,강동구,567065,86329,72636,87522,87092,89725,143724,80462,80432,80651,80102,79490,82142,83742,264253,302804
2019Y 3Q,강북구,378529,50115,56221,50105,55435,59889,106728,53453,53439,53772,53647,53466,55050,55661,173276,205247
2019Y 3Q,강서구,515459,86718,70935,89689,79618,71413,117046,73509,73334,73438,73115,72136,74110,75762,239637,275818
2019Y 3Q,관악구,701149,74084,175758,131865,93871,83021,142492,98561,98629,98944,98549,97350,103361,105695,345174,355965
2019Y 3Q,광진구,456793,60133,93034,77344,65451,65133,95665,64499,64518,64895,64626,64020,66826,67366,214044,242743
2019Y 3Q,구로구,329916,41310,45968,56382,54815,51579,79826,47368,47204,47378,47069,46736,46430,47689,159855,170058
2019Y 3Q,금천구,178598,18797,26572,31847,28303,30232,42824,25633,25635,25641,25565,25316,25191,25589,88528,90066
2019Y 3Q,노원구,167036,24976,28594,20398,23333,26597,43114,23319,23464,23653,23369,23496,24972,24736,76918,90109
2019Y 3Q,도봉구,192242,25949,25181,25042,27688,31241,57107,27046,27064,27134,27233,27050,28015,28666,88258,103978
2019Y 3Q,동대문구,457152,58128,81844,66298,65146,66377,119325,65652,65930,65933,65166,64442,64831,65156,219982,237164
2019Y 3Q,동작구,417752,56074,84455,69196,56931,54745,96317,59455,59628,59700,59272,58611,60341,60699,196280,221465
2019Y 3Q,마포구,523933,67400,123759,100653,81962,60572,89547,74412,75348,75557,74438,75039,75735,73362,238854,285074
